address,RNP_Points,RNP_primary_STO,RNP_final_STO
0xffec82c192c0cb8110aacec77829cf95d6f52c80,26300862,7194.409573607115622571,7194.409573607115622571
0x0819d04c2bc1b156bf8bf0d89a8049d41a3a3a24,26076011,7132.903217388253535281,7132.903217388253535281
0xaaed68a3875f6bdbd44f70418dd16082870de8a0,25968251,7103.426252882226973129,7103.426252882226973129
0x87a8eaf122d8ca8d5612ae522a0460bceae09989,25593360,7000.877545563845348114,7000.877545563845348114
0x4dcff24d5757d163241ec9e6c81678f8b8e8b196,25365569,6938.566973720932424774,6938.566973720932424774
0x493d0e947d3cc7c5e402a983b32c44e5227a22e1,25160000,6882.335068407835038406,6882.335068407835038406
0xb6b6b529f3d2d059f1c75f9657432f3551af6247,24127426,6599.881958275635044092,6599.881958275635044092
0x131cc10984fb063046fbe7ac1e48f3b7857c9b42,23828352,6518.072440062240574446,6518.072440062240574446
0xa9260b95ec0139941259eff226db5f4364222844,23267894,6364.763229101599938121,6364.763229101599938121
0x79f293020a8c603592ebe4d0cb169a9491bd2d98,23139566,6329.660037739968751522,6329.660037739968751522
0xd6cb7a7b544e24e5160a948a16c45b1096276f9d,22983312,6286.917892120771698419,6286.917892120771698419
0xe9b2fc5f89ca0f6f88122feb3f88f5308b86c7a0,22678812,6203.624131058363678975,6203.624131058363678975
0x2eb03240b6b200fc5c98f363fa3dae2b3af6f7a2,22564764,6172.427129870693696048,6172.427129870693696048
0x81c98b77b74fd90a0e54855210b758f5af8c0d5e,22278338,6094.077380097093435368,6094.077380097093435368
0x45cd4a748b773e64d0e7e32e94130bd9e3b6a9ef,21923335,5996.968890578413520338,5996.968890578413520338
0x8ab049659f86f22cade8c6826d1785b170e3c4c5,21919800,5996.001917030447634135,5996.001917030447634135
0x60de7ff4379931ca19f34e4bcdb6bab979a7da30,21910484,5993.453592964577706027,5993.453592964577706027
0x07e9aa40272429a4e2ee072208fdeb76407249a2,21832074,5972.005107562596054780,5972.005107562596054780
0xf7392bea82f9493a0f908fdd305fb247d18dbd43,21806460,5964.998584095100097440,5964.998584095100097440
0x8a9087bc1a48ca3b2a25499b37eb70ac13e3f360,21103362,5772.671238231530463107,5772.671238231530463107
0x368ce8b8279bf90ac74a6bbf40c98f1e67e2f880,20228010,5533.225063080459906010,5533.225063080459906010
0x46e3afb8e79d35bc83ad41a84443dd8e26bb5d33,20037623,5481.146083483124353965,5481.146083483124353965
0x7bb42839b28909322b0eb917ca77e3d1da30a0c4,19535142,5343.696059337312058340,5343.696059337312058340
0x0967399da161d4f9f5d44b740ebf1c74a6c5ee39,19481688,5329.074106286967367794,5329.074106286967367794
0xf32761f2a08b33e72ce4bf47839967498b7caadb,19261988,5268.976768666569857542,5268.976768666569857542
0xd85bc15495dea1c510fe41794d0ca7818d8558f0,18930210,5178.221309035162278314,5178.221309035162278314
0xa8b047ed607117b6876c4db8205be8b471071b5c,18881069,5164.779145776154749633,5164.779145776154749633
0x4603630010218d49640a158f010fe217053a4904,18202860,4979.260004901361053545,4979.260004901361053545
0x8ccaf951c46899aa11e96435261c271c3e5ba963,18095434,4949.874403666910334672,4949.874403666910334672
0x47c869583f24e7c187f4d57cf1c2736da51f145b,18043452,4935.655105514049600135,4935.655105514049600135
0xe7cf7d74cda1026c3a1e97a29098c66ce8cf9b40,17939262,4907.154688551513338901,4907.154688551513338901
0x8017ff21bc4972d84a4dfff2141517daefd0c256,17679660,4836.142448947824515704,4836.142448947824515704
0x3e2b43e5883c1f055ae0ed7a7eb43a6867c09e09,17652177,4828.624674119324812589,4828.624674119324812589
0xde11aa3c643ce38a8a9e4fbe4e2a8191e9301ef5,17407908,4761.806665183517441484,4761.806665183517441484
0x4e5949f3ef84ba34e11573987e2c5ac93940bc83,17403090,4760.488736313899438733,4760.488736313899438733
