Address,mint_cSTONE
0xfd1804ef264220c26cc7d09162d7c2614f48bb23,T
0x5c216fb89b6f521bc10961f684875ea8075a9b9a,T
0xe5376388e05557a004c847b204eac1657f7c7520,T
0x633e57738f952b11c83e25a6a35578c99a597a97,T
0x00918def8a3916f15be59f2a963b9f6bb865c020,T
0x0eafad9437deca8d4021f23a0511e13d1112ecf1,T
0xbb3280809f49f6f15a73a35413e1d16a2ed8c25c,T
0x623f694d9cf6f854fd1e5f3aaf15f566ccc76b1c,T
0xeccf9cc58707f3a460c1d71be64d54b6f47477ba,F
0x2e8e9f34c8adb12f8adedac86b719f891ba8d7f6,F
0xa734b1133b846420567c98cbbdc86b6e3782f355,T
0x6a7800fe9132304a2a4c19a2d5b0b2aa7273b999,T
0xbb07175b6c0a4627b69ecb6d0b102e6235e676dc,T
0x3a2880f33eb6de8a9144638dda6a836e2a5b0e89,T
0x1850ee62fd02d88017b9a328d72a57d0c92fda28,T
0xc9a5098a1f39218c58b9ba33971b6d35aa59c881,T
0x9d99b84be113b8e7fac0fd3efcece418f302abb9,T
0xd0eacf9f9fcfdc7ad182267c6f99f9e9c8d93cea,T
0x6c2a5c1358ae82e8e44f3c64f6f891449fbd2661,T
0x1fd7ed6be3d74568f56d95773df81cfaa0e1fb29,T
0xe31cf9050cc11ade7474e9b98e6538696e2ca811,T
0xb7ecfdeb986d61838dea078a72f6c566534f049a,T
0x3d55d191094ad7bafb0c6569ce32758b77a6bfb5,T
0x4c82708243dd9790d8c2225f14e7d7a6587480cc,T
0x2b11a95a7ea2438168b57176e3a2e10e24fdd684,T
0x08aef381a921e3b058e4da1c0e5890a2f960d703,T
0x0ae11a8b20063d14fa9fbe4786b66c5b8b16112c,T
0xcf0d4dc44de72e96ccc650209215ac670d612b2c,F
0xe2a784aa40e55c0abc19ee4af5f591529e021a99,F
0x37a806aae27f1638a5d1f590980b5ce6eeb9def9,T
0xe5531eb8d46518fc7decba76f1c118af50da9486,T
0x314754bde943c2d7d17e6362d5fb597524d76d11,F
0x499cbeab7209a5e794d817d3166630768b4aba42,T
0xc625b0bb70405e957f3bcfd9f90120e440b45817,T
0xa857e8321f8b94c616a14592fd69cad7fdc9786d,T
0x99b161acc90d81bea3f50c554db727d76777d73e,T
0x39629a4cfcaab944848248d9b0024e37e6b398e4,T
0xd49d3e50039421c2a43d92ca81d9f673ed97725c,T
0x13fef0e7d5f88d28d61ab7f090f468ddafbc432c,T
0xbbab684c0fd459242f849232b3eac1a017cd28c0,T
0xec179822321f23008fe9d57d9a2bc1ac6da0500d,T
0x825c9fe99e4bf3bf945fec25232a2f666c915e99,T
0xa09357c11f3f1ae70614e1e217b36e51402201c0,T
0xda50e67e7a803ba91c17443f4e9321add06b00bf,T
0x0ad50c58d425a264105d826f65e9db156bd864bb,T
0xead0773163a74bac854e781f6007de0b3cfc36d5,T
0xb95b03f1604710579915a2cfd69ec230da9c0241,T
0xc3e0928fc64aad59c1d44748accbd94d791674e3,T
0x8743888098addfbfd380cb7ecde635717ac03add,T
0x3c43d7474eff56350e13a981411533655cd2ce44,T
0xe11f2e6b73ccedebb322db023abb1829278271f4,T
