Address,Total_Amount
0x3451c0a99b4c8fc70db73db5b30a109d57140804,1126.9558490350412
0x1732951b80c737dbb8f367e83e530623bb612e54,99.717318
0x355b5f013a1ede94607f7a4ce45c0132f053507c,34.556939651037155
0x49a8e5acb7b212edec595262b3bd730b8f483498,24.927022
0xc3c8e397e92c5f87ad2afdaec05149bc3d85442a,24
0xe4220311d6fe0691cb72ca63ffb493e8f42a0e36,20.034972
0xa969359ddd289709a75d858e0eb2e3e6e6f177a3,20
0xf833603a864d2d36ce8bf0b9451ffd468b8df376,17.977261
0x5605eccbccb06c1bfe049a3ae1b8d7899213e438,15.384247073381417
0x46e3afb8e79d35bc83ad41a84443dd8e26bb5d33,14.962431673713205
0x15fff7c1231d195fa7b0f589012169e0877f2ea7,13.28093
0x09fadbd76622b9e674166f06fad15e63b5aa76ef,12.745652403504833
0x07a318a09bf29c336b808a2477f8ef6382a942be,10
0xf4880cb7289730e1d538366c4edc46a0fa7e9c03,9.965705
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,9.65
0x9e46e399fec5ba7511d19dec9c992cb5776a6cc5,8.910117
0x11d67fa925877813b744abc0917900c2b1d6eb81,8.62979755188114
0xce225fb9eaa879ed1a555e7e6df103b963ed1a55,8.178862
0x58a72d69f2331498fee4ae68e16377f54a71395f,7.905802697913892
0x321f011917e384e43e5e85b8d6f4a56dcdfe31e8,7.576561
0xf9868b3960348194371b8ca4fe87ca7de95e40b6,7.205663762268428
0x99dd5e5287bb98500beaf656e935ba63e21cd04e,6.907165278502413
0x0347f0867b9b28a34fe6c044c4d48c2e5f71c528,5.985801
0xa849cda4c2c41b7b0db54b360bbdc6e00eb69a7a,5.922980859273597
0xc4b0ae284e085da227b81a62151bdec2bcd19c10,5.917424072086582
0xa5f68b64ad633b1f86e38157fdfebd54f24f5f1b,5.81929593242538
0x7278a0d4f726efb6d34aa0432e0a3d6ef8df6455,5.070793
0x74e89173290df985ec6472a4bd94ffd817d8d140,5
0x706c4f36ef8824cbf8278821d2c709a0f08a414f,4.931186726738817
0x902d9aa02acd63249c83c904b630383fa0d25bda,4.93
0x7541f55c87b6f572a3a9ec3a372f19101a2d7448,4.929012137676365
0x1712c6e69940c195c983d812d3a45b4e4e13fd37,4.7
0xadbe0e7f66e45a639206824424b57b02e3b88017,4.516852160195646
0xe9191dc0376a01b13751df0ff0cef710bcdf506e,4.487969221610796
0x6acf8ca3b0b07f511375a54c978f224f24f7d3bf,4.384608485738901
0xc176d2e4a41d582d67a588bfea2aa193bb09d253,4.237934318854092
0x3c58d9b53ea00db51f31a70f103f6f4f59acf3b9,3.760075
0x43eaaf64878f7f0632ca5a9e0595e96a108d1eac,3.6969652571286895
0xfdfc89fc7dee5532cfba75ae50fd62add5ae5e21,3.4500472104596156
0xd5f83f2d001ff45c472a6a44211697b3479101b9,3.2111334603006627
0x50fc9e395ad935aabf2fd9eacadb577682c787ef,3.178255458091833
0xc997700fee38cb6140ab1818acb69804b600990c,3.000365
0x219c0bbc60a30f870e17c09fa7f898619485c240,3.000075
0xa1c9d41719c4ffd99463f1cfa579d9b6a96b50c6,3
0x936215be33ad684abc6044d40ec09f6c6c6c28e8,2.999137
0x99e94444584e89a5a479f2c34f18300e2a5da18e,2.9616387160271653
0xcbb82d22b1624761b62bd807b01b7d491da8b4f5,2.9614905058150054
0x091a551d61cb40e7443e08b79628f34b95520687,2.9553102775839024
0x3adbab7cd849abad03e3d27feb514adcab6cd5e3,2.814656496381702
0xb417fbd5d02311392cb95af3a834ba9f7c920f1b,2.7653046745661234
0x63155bbb632e982fa3af997262467529373635c4,2.7215727780692793
0x9c01b839c6091e519fd4749efa8b81e190c6d892,2.7160420341069873
0x2c5472dffa8ae612b918c483537a36aa75ed0a03,2.6132745212616997
0x91d50e0a969176dc41e45db2072148c71514a89c,2.4655619712056818
0x3598838cf93b8176482b93178bd7e930f522f7ce,2.4649499697257315
0x9dc051ce8da00508838d152c35f1fb94de32b6ae,2.2848564590503715
0x9a78efcc6dee6792d9a6ab3c45be04e5dcaa7a15,2.2289422018955394
0xe6df892690536582c30c42384051f988c827768a,2.192823
0xecfcb7d817db88845c0fea76d8c67939765a53d2,2.14
0x2400589fb91bb742f6d604b1577632356adebb2c,2.000994686960904
0xa6f4fa9840aa6825446c820af6d5eccf9f78ba05,2
0x66d8866e128ba492ed52eb6bbfdbfe9f35e7561f,2
0x30cb942dd194e71f4e9fe556f4ab0df351846d69,2
0x0f02f120b06e99f14f3a84401a5889ce946870ab,2
0x5bef45489a03462d199612c5cd992f114f398ea8,1.994803
0x8a3a5c59c10f991b7bdc4143dab2e18980f907a7,1.994342
0x792981e386335b3193960b86bac72a1797492aa9,1.975902041303296
0x563e0f94d79ad27047beebdbfed8130236ddaae5,1.9756824251486
0x8872388897be90c52ab374dc27d9c4ad9caec9bc,1.9717691132907686
0x19142e3df9e34966c876024dfb9d805f4ea4a131,1.9716047971189525
0xd4b2d48abfaca45b4442b35c612e9e1c644de0f3,1.9713006649839924
0xeaa16d609fba32fb8666243df4a8694cb364c989,1.9265025794016717
0x69914e17344660132e467ef4a8c02fb290f9659e,1.9265025794016717
0xc7d612b929c6ae11fd864fcd6b3de15fd0110c2e,1.924459856748021
0xc5ade7b53572a820d992fbbccd82be3c4e19c689,1.8337718654526138
0x11d7347ef75e7393a0269da36ce368eff531fc77,1.7731342126729774
0x21e1ca3731d6ebb96e069b2ca97ec8bd39d76c0d,1.657158633964209
0xcffe08bdf20918007f8ab268c32f8756494fc8d8,1.495261
0x076bfc8347f76a88617e20faa1ead01b1d750acb,1.495155
0x8d19eed83250cdbee44b35d702eab8ccff5edee6,1.4811449175253975
0x98d3f2c51a80ccaca5c5862e242c5ed493f42be8,1.480745261981449
0x17b432b11798d786e999aa109c612efc18f21829,1.4643016209952775
0x02d3b0c2d2a41149be91ac89e2fed7b85cbd5c7e,1.4589895048241055
0xe620cf1f08935350d7f0eb09c270a7f3cfe68039,1.3905946467756756
0xa21a1a5da253f06208d06b87935e33e950636ffc,1.380733166870006
0xbeb30267664275aa479e0ba9d6d3245291830b3c,1.2879999999999998
0x9f27b30fe456342fbc4ab7288c0de7344c213321,1.24765
0x18a12cc23a952bcd9895fa4b18f59e10c088285d,1.240867
0x68f2ef6226f32831b9c8020d0217539ff3458f9f,1.2360556185613176
0xddde71ff210f6b29e4aa9361cfa886c73bbdec7c,1.2
0x171997a56e981b821f0b1d6928f5fea667dcc959,1.1915140949927294
0xaa67a665c7d343ca65ae86608714741d3825711d,1.1538229789789165
0xa2a48227c4b0780e746fa066614ee72b27fc9bb6,1.094964
0x68451f41820b5db0aa0112fda606cd9a41bc575a,1.0858798572868917
0xcb700331ec50b8dedb4a8c7e0a35ea09f90462e0,1.0837327341888088
0x98f9af6a4942cc356550dbcae616d2feccfc8cce,1.074081
0xb3e72b1f2599c3a3cb31f636d5cd19e18ab25889,1.0560449375377896
0xf6c280e2d549e4904e57df5ff1beb703ff7e90fe,1.0378513507279865
0x9ef966536d57c7281136ebfd7692a60f6055d724,1.0368014422677783
0x9c2ead57d679abc42a5bbc8a14137c89d511842a,1.0273124687698312
0x608c74159ad68dc0dc365748cc0008bb59793fc5,1.017497
0xb734b74ed4851267844827b18daffd74350a44e2,1.005962080922378
0xc29a31f3e3fff621188500e7ecee6509222a08c5,1.0033928151732254
0x0ad02bde60fa40fd64f288670ccc09579b69e7bd,1.002204
0x6398dbe8f4821932f41f8530533f5220af71c202,1.0014433042729616
0x2cf0fc890083fb51da23ba1bb161fdeee623048f,1.0009335834297943
0xa890cd9f82b615bc4c1dc7174d3c602fe7515bb0,1.0004568932404647
0x26d46788447b443639add40f1bc96d4dd8e8de8b,1.0002663822417746
0x54bb766e58b8d541c15b271e0d97783f39a52b3d,1.0002432844067395
0x2bbcbccc7971f59b58e0985a1ab0c8b3f1f2230c,1.0000733604080754
0xf7ce7dd235b974495cae189994bc37075a406bd8,1.000044655391795
0xfb057834e97b303af1d05f034ee749fc2b1580d1,1
0x29d6d6d84c9662486198667b5a9fbda3e698b23f,1
0x0c593dd4642da8e7500abfe868a064b7d220d69e,1
0xb7acd1159dbed96b955c4d856fc001de9be59844,1
0x98bee53140e3f45cd38aed787588dd95b8198d20,1
0xae818d4d8c1c22cfc663e14a1139741ff165b243,0.997474
0x77674b6fdda91c4c5fead20da52012520b117729,0.9966927101179262
0x6f9aab55f59e1f7f7d820d7f7034ea769b55e20d,0.9953280933576324
0x4a401ee7fef089cd20d183fe2510d7bd38294728,0.9883498551831086
0xb1c94d3579d36f8e80e8760213670f46b71836d3,0.9871638066674258
0xbbf829dc110773efd66b5fe0810197d52188e884,0.9871634770915128
0x82c792a4e9548ccaee16194023b4209a542813f2,0.9870784156623826
0x8ca04600c09400376cc97561265605d7ba2fc922,0.9863214683817622
0xf0e3954f4fb650715ec18fa0eb70e0a1124fdefe,0.9863213406476605
0x81e3c9ded64caf37ee5ffd643637e1a97cd64f5f,0.986237342686921
0xaefcc39670df5c5c393e372c3cbfd8e89d956d76,0.9859702396945222
0xb893ae8a1824604f6df4dfde52e2754921ba1a73,0.985970219871173
0x627282c1a5dc560646a328cbf92918511d286623,0.9858021859845167
0xfaf685e4a2d73274c0e1d8e9fb4df21369708093,0.9854735081280627
0x6d17fd5c1e7ee4035690b2202d07fb88845026ed,0.9850815863921735
0xd4912290616426ae5281580547d04212f655e1f9,0.9850815564170998
0xeb2a96c519f89119c08d331112058be698dfde6d,0.9850815497521005
0xe9f13cb9365a25f88a1eb040f4b95382fb3047da,0.98
0xda9cade6aaacc8d89da544b39bdd30221a25ee15,0.9782
0x30f8a91035da662722b72ab32efa454b2530b530,0.9764582551190922
0x3992c030d446ac1bd581b6754a743ac5ab2598ab,0.94791
0xbc5ce2dfc7a89d597c26f556a9670a99b73f2e0b,0.9471710430003187
0xe73da307516455d8b0cca2e2837ed4441362a72b,0.938228532107791
0xa67c1136bece8c761a84f1cc0aa7857fa5af17d6,0.9359507782698495
0x8482e81bbb802275247bf4cdab9bc67020231860,0.907142
0xd187570ff46109317f5f2ce3344e6397aca2e5e2,0.9006492303527162
0xd27f083c3cf444281561a8df0afe2d93a604c3e9,0.9
0x9b9a2069810ea300889250e54600d1f55d778831,0.8931360660753298
0xbfa895bcce0c5293b02b922cfd5e148b07882397,0.8876900828520302
0xa7183a3dcdce1f316066c94a7cbc05137744e219,0.8872233985746331
0xc3e29641217536c8cbcd3a37516c726a4f56d378,0.85
0x979f8a606ed7cec924375279b319946a0e6f9cc9,0.8087834793799511
0x175893de59faf86ff2feca7a268ae6814d889d92,0.7609153051655474
0x3fa96f50de9335e6a36dafb5d50164fbac181ea5,0.75
0x7b16c265b06901d466c94be827407d4c6795a144,0.7396784585438791
0xb68c93defe232a4244f690a60246754071869574,0.7396060972616525
0xea74d14a324d93caa3a9b353f6a05f3f75595bfb,0.7394139253270315
0xfe2e78981edda33ca9d2c464aacd0e8938de8690,0.7290834280102393
0x1de9d441ec3e7c03700d6959482036dd953cb9fa,0.7208444448014016
0x6f43c7973ac494b595b17845eefc10cbb40bd7b9,0.7
0x32542ded523cb0342ac019ddd39e35e8746f82ed,0.7
0x909085925b6321e64f00b5b89a7604fd1dc2754b,0.6912007865406578
0x979260c17a00b9231fc2368b691cdd1c3c6941d2,0.690366136697144
0x24f1c54c9ac59d1f07d29c644022bb5fb1751cdc,0.6901790577474678
0x4af721c55703a0dcbe5fe28c6e3139d11eb291d0,0.6900615301891617
0xd86502a2a416c0a93c92ae5ae0c7ca14475b248b,0.66
0x7aa557120a1a198c201c118bd88181394b2a1afe,0.649918
0x529bf60eb8cd3ee8bb3e42cc7c82db5fc948a66b,0.645428583728928
0x2a731a36b2ca70ec1d7c0ee28921e8fcdf701b9c,0.6334
0x737849d8466ad874a4b01326ae6a37d3bf105538,0.6206792779945555
0x3f4d001ca6dcd2927f9c81013d658ca678f5229f,0.6108272695794223
0xa13ffcb0c59cb62293363b18ac506bcec79c4022,0.5984409871899685
0x86859ea8ed7188c0f2bb40b845bf74f2d7546af1,0.5921985260365038
0x7841708ee45e96464bbd5ec53f2f0b5671e720c2,0.5921447734104506
0xac40055ef20f5e3a506589ab27925ad6e606a69f,0.5920425925298735
0x634af4d44b0267cb7d497c41b2e348bb4f352d59,0.58
0xbde56f20825433dd9f9c15a598e122a8177dfc23,0.57
0x3a2880f33eb6de8a9144638dda6a836e2a5b0e89,0.56
0x9ec232529e31afb997601b1c58f205a6b573400b,0.5581117138676575
0x734b1e174dc0052ad1c59fff43b6b412ea3f5ca8,0.5465929222973583
0x22041a2218dce9d1681cc158d4c6e1216e49daf9,0.5444030147639988
0xdc42acee7d79d4af14f5f42b26a012e6094b75ee,0.5427049912620208
0x57370d8350409085b33253f9d4525f1eea26e1e3,0.542281
0x211af786ec6cc8a3564a2b8a8575f1b5d3efbdae,0.5305956945146748
0xd60ea2d820bcbc33b8294e80522220169530d5d4,0.5232975355684379
0xb2efce80aa4974a33b884e094a143cb463d6f197,0.5226095219806759
0x6c5ecf9269dc1bb81980b5112b6d32d476cb4b9d,0.5126179636208991
0xddb5dec686a9dbc0be659b553a7097523232c777,0.508716
0x0a7554d5797b19c1bbf9cc8aefda170a3b910e4b,0.50842
0x1eca9b0e09c9e68e1f7d01c73c496788e4354fb2,0.506542
0xfe0fa7e1212a34752a5e53af17d98173b5dd0847,0.5049535218933778
0xbc3ba7c0743824800334a0abe84a7192772750c8,0.5037804778716712
0x66a75223a35f4e806af327265271c843db9d10d6,0.5029810767564475
0x95272c5e0f8bd14ed7f79656b3ace6b06c85e5fe,0.5029810461273594
0xc71b2c6b22b64c281555de040b6079e6322913d3,0.5029810364396055
