user,holdDuration,holdAvgBalance,holdLastBalance,holdWeight,pancakeWeight,finalWeight
0xa4aa2626993930a7d7c7c032aeb6de2a4c73bf46,604800,297450.353410855596164263,297450.353410855596164263,2082152.473875989173149827,0,2082152.473875989206135273
0x4e6152d1b627cc2f5cfdfd9c9df62b8bb781b864,604800,276563.472055613670949344,202293.147981539596875270,1935944.304389295696645395,0,1935944.304389295633882284
0x3e499ae3d6650636869a4efc80ed64bab20ec534,604800,203785.475209621150065510,203785.475209621150065510,1426498.326467348050458556,0,1426498.326467348029837012
0xbf8f6b554d0910674a950c82b1d9fe230f0ae2f3,604800,184587.752916783181361083,195732.084369395287761276,1292114.270417482269527574,0,1292114.270417482359334826
0x88eaefa1c2e797d40211de1a8773f86e318dd8b4,604800,163667.429037874610028831,99662.309188220181471616,1145672.003265122270201806,0,1145672.003265122184529901
0xf301bec395546c22b426ca2909e1bc7d9bc6382f,604800,109165.677255221763164058,109731.606836254075223736,764159.740786552342148390,77.319603078959719103,764237.060389631311409175
0x915579036b62ee9f6347a0b8cd145c562867df2b,604800,102519.476037310699766625,102519.476037310699766625,717636.332261174898366360,0,717636.332261174917221069
0x5665493d4f3c0ef0d9a549b8d2eca1b51a9cd7e1,604800,99945.938614462328606328,99945.938614462328606328,699621.570301236300244281,0,699621.570301236351951957
0x644ca4c761db8d6b1d9b2cb79d9604d197a561a5,604800,90000.725244577884480482,90000.725244577884480482,630005.076712045191363360,0,630005.076712045236490667
0x5ebe7111b4855881da56c1091c17319ab4965919,604800,89266.137283883101526452,89266.137283883101526452,624862.960987181710685150,0,624862.960987181751988828
0xca14b3e34197f922b2db18f1ff8818d88d57168a,451184,99002.048342507905900945,99002.048342507905900945,516992.363187107488611239,0,516992.363187107490375638
0xa42e560d95c86eddbd3de483129e4fcd9729b004,604800,73338.364697810597227096,73338.364697810597227096,513368.552884674180589657,0,513368.552884674165397882
0x42de065c7ddc9293f3bf17f06bcce01512daef03,604800,70730.114256282210699032,80478.916979513428814071,495110.799793975474893209,1.508130109352622337,495112.307924084831029177
0x252bea6e56a8c070e7cfcae3bfa5b2687b65c177,604800,68283.920020854883958173,68762.114945154469245605,477987.440145984187707201,0,477987.440145984175615013
0xa74e3b7346fdbbc17c2a1fa7aa5d436cf3730b20,604800,62983.955194288992957286,62983.955194288992957286,440887.686360022950700990,0,440887.686360022926237434
0xb6a13fa6f23e7402ef62c644746fabf4004434de,604800,52440.697823457269353760,52440.697823457269353760,367084.884764200885476306,0,367084.884764200891368091
0xf97b6293a956b0ba5348bb684eed32c4c21e0ed3,604800,29494.566849448806680147,29494.566849448806680147,206461.967946141646761016,0,206461.967946141638094559
0x620597b2f681d5fe82e6e16baba6fdbb6beaee07,604800,29436.320691779533471844,29436.320691779533471844,206054.244842456734302892,0,206054.244842456741025671
0x064727a0d5a99be07b8eb3112c6f792798921bed,604800,29389.473161784758639263,29389.473161784758639263,205726.312132493310474827,0,205726.312132493301760405
0x399befbcad69f9aaa8b8345cbd7bf45157e46cf6,604800,24964.802234795942869444,24964.802234795942869444,174753.615643571600086093,0,174753.615643571596592665
0x31d55c6ebc1b2b4fcf5b9c33362bbe39f8f4067f,604800,24295.297813742067141791,24295.297813742067141791,170067.084696194469992522,0,170067.084696194477146491
0x6e1c5acbabaf0b3c73d4412c17c40d2f1d2e183b,604800,21907.649646760427204818,21907.649646760427204818,153353.547527322990433712,0,153353.547527322982205078
0x0df6abbbd058f3e7c9090721c8af30cd8c52ba74,604800,20106.234838243592912995,20106.234838243592912995,140743.643867705150390950,0,140743.643867705162847415
0x138b3885c2f15680ac99b0fd139731b1fb6ba56a,604800,19729.321149863063948937,19729.321149863063948937,138105.248049041447642543,0,138105.248049041460035369
0x1ee250bef4127441ef88ef16c6dde8b286c6bdf3,604800,14900.156576890749997780,14900.156576890749997780,104301.096038235249984446,0,104301.096038235249579884
0x8cf3849bfaf648c4bd5a34447b0bfc772e8f8fa7,474666,17916.285803458035463536,17916.285803458035463536,98428.839319261711358031,0,98428.839319261707714759
0x7c99794f7e145e006be694ede8f3c8c64e87f820,604800,11686.739737763288145697,11686.739737763288145697,81807.178164343017019868,0,81807.178164343014941551
0x8a16718aca875d59e348b4d276cc5ecbede68b22,604800,11125.453621447250760246,11125.453621447250760246,77878.175350130755321711,0,77878.175350130753940903
0xba80b1c3916f8400050f292efb8d4093ae9a894e,604800,11031.257757369159824101,11031.257757369159824101,77218.804301584118768693,0,77218.804301584124914370
0x188ff434d753f1aeb2689c6b436eecbc6ddb67de,604800,10254.841928481358438734,10254.841928481358438734,71783.893499369509071125,0,71783.893499369514756836
0x0677eccafc56c7f8971d336e3bd2f7ce90d27f60,604800,10200.700355937280906519,10200.700355937280906519,71404.902491560966345619,0,71404.902491560962516814
0x8a166bf461fd6d42edf1d57630e9c1bebcf15aca,314204,19273.085716733574633793,19273.085716733574633793,70088.896117367547271247,0,70088.896117367548868060
0x9491aa5b4af46f2d9a3a47c054a550ee53bbf398,604800,9215.926327296634914003,9511.271554523592740403,64511.484291076444398007,0,64511.484291076441877522
0xedfde49603510c2857914fb541a2597eece9a94b,233299,19778.947322594010452781,19778.947322594010452781,53407.507308030787553505,0,53407.507308030784770381
0x834c673130c085057531f227dcbd375d803d9a98,604800,6998.457123206618601217,6998.457123206618601217,48989.199862446330208506,0,48989.199862446330371313
0xb30d1f7fbbfc689d8b1ad61b108665af12ec18d7,604800,6882.719540004811077632,6882.719540004811077632,48179.036780033677543412,0,48179.036780033675313462
0x3f8448414951a21cbf7b969f317c24cd28a79f71,604800,5646.612342922072436365,0.000000000000000000,39526.286400454507054542,0,39526.286400454504473601
