holder,points
0xf301bec395546c22b426ca2909e1bc7d9bc6382f,69529661751692237071
0x44ee5131a0fe22a9c330866410a087cb01d4cda4,0
0x42de065c7ddc9293f3bf17f06bcce01512daef03,1508130109352622337
