address,points,amount
0x5141b82f5ffda4c6fe1e372978f1c5427640a190,0.000000000000002462,0.000000000000000010
0x85cd07ea01423b1e937929b44e4ad8c40bbb5e71,0.000000000000019679,0.000000000000000087
0xf081470f5c6fbccf48cc4e5b82dd926409dcdd67,0.000000000000069537,0.000000000000000309
0x0f4a1d7fdf4890be35e71f3e0bbc4a0ec377eca3,0.00000000000006988,0.000000000000000310
0xaa53db8d0cdaba4f60d16e424dde26b6f7d79e36,0.000000000000145246,0.000000000000000645
0x1f2f10d1c40777ae1da742455c65828ff36df387,0.000000197216657049,0.000000000877079936
0x0000e0ca771e21bd00057f54a68c30d400000000,0.00008273416456844,0.000000367942935962
0x6f4a1bffd2510db7060d7155e412ffd26e00760e,0.00150005,0.000006671159417272
0x48b8419b2bc0fb63ee96e3a370e30b200cc2e672,0.001660195265538921,0.000007383372074404
0x8f7bcccc0efeca85b103d9783055704e37e40f2c,0.00318465151201661,0.000014163073180974
0x922164bbbd36acf9e854acbbf32facc949fcaeef,0.003456699302462438,0.000015372948971235
0x2b21383f823b9a358a732bacec8133603ff1832d,0.0055272425,0.000024581257861687
0xc7d2e7423f23376f8dd5c0c58f62e49e484776e1,0.006208333333333331,0.000027610267245914
0x2b29478db7e038ef72e55c77d8f9cb0026c0b1a7,0.0085855,0.000038182220043993
0xed6e4c3b1d0e93e52cc7c5ad5e4a897822033b13,0.013841535178029275,0.000061557339923615
0x083072701572a0ad1827ffe9a953d6932ba4574d,0.0225372635,0.000100229777432470
0xc5d263c097b36df802ce9e030ff6c96c202fa028,0.029871122291636302,0.000132845584334087
0x28f8dd7041dd5e8d625c734313fa9866eb80bd04,0.038415308333333333,0.000170844069167923
0xc63aaf9ca7e6bd36c85d505bb8b83c55269eb8ed,0.059806354711512453,0.000265976285088128
0xcf5540fffcdc3d510b18bfca6d2b9987b0772559,0.092044698160710955,0.000409349591643500
0x00000047bb99ea4d791bb749d970de71ee0b1a34,0.106785,0.000474904008782003
0xac156ff49f649513e88d4708bf3593f669bef44d,0.181818,0.000808597622032367
0xdef06bf6b4e0d57021c1362197900519376c2bc4,0.186873833333333333,0.000831082385976120
0x3a905344357c80416d960f150147950b94e74108,0.196887166666666666,0.000875614596879061
0xf5df58d57fa0888f44a8bdcfa9bd7a15252e17af,0.199875,0.000888902362272819
0xb7017320f6f3320beda1b8318aac394bfd44613f,0.272486893333120324,0.001211828608741425
0xd64664ccd76cf1508a3783a5836f06de9c007628,0.44646595580134918,0.001985564191550777
0xef50dc1d600ae78e3eea989788c77600406f9f76,0.549639999999999999,0.002444409227765516
0x5510d7d65e6b67fed21b878a17db6ae2f9d561b5,0.550143333333333333,0.002446647697754312
0x2fe3e26a78759d0ee0f46d7a4c45e4fdc599b7b1,0.550269166666666666,0.002447207315251511
0x8834e502257a4e61b669cf7b6150d263f16fe89e,0.550772499999999999,0.002449445785240307
0x3efce5537edc61d2b7596ee52d3ec10361410166,0.552911666666666666,0.002458959282692691
0x617d2d837026b6ed859c57f0e2dd89816d01b5ec,0.553163333333333333,0.002460078517687090
0x26c2a118768a349dc847ababf43699dccc4c8d74,0.553289166666666666,0.002460638135184289
0x78b314112f4ffa7ef9e94e32a7afe70c610a3a43,0.553289166666666666,0.002460638135184289
0x9eca769c664a58f5bda0f0f01c9ebe833f299a83,0.553289166666666666,0.002460638135184289
0xd5bc63ca21ea1b71a6803efc0588a0d9a5cf9496,0.553289166666666666,0.002460638135184289
