address,pointsEarn,pointsRef,pointsTotal,percent,inviter
0x0f4a1d7fdf4890be35e71f3e0bbc4a0ec377eca3,0.000000000000000600,0.000000000000000000,0.000000000000000600,0.000000000000000000%,
0x0000000000a0e840eb212ab0e180ceb4b70cd833,0.000000000000008016,0.000000000000000000,0.000000000000008016,0.000000000000000000%,
0x60eddd852c05bb255d50157c01ceaf9a0b017e00,0.000000064881160704,0.000000000000000000,0.000000064881160704,0.000000000000831900%,
0xd74de0c9ea59307ca8f1befffb6f941947e93be3,0.000000076802172000,0.000000000000000000,0.000000076802172000,0.000000000000984700%,
0x5bd930119919c9ca761a9ec9304a9273ee05aeda,0.000000210416666664,0.000000000000000000,0.000000210416666664,0.000000000002698000%,
0x6585378d7eeb72bdf307da2ecfda74a903990aa0,0.000000336666666648,0.000000000000000000,0.000000336666666648,0.000000000004316900%,
0x29744bd7b37bde14f74d281d3badbe68b299be5f,0.000000355929039312,0.000000000000000000,0.000000355929039312,0.000000000004563900%,
0xfd2f9072a972421c488f10a2c5f9a064edf36d25,0.000000378750000000,0.000000000000000000,0.000000378750000000,0.000000000004856500%,
0x3a7dabf8fc7ae93e256d92b12a15bbeff75f68e3,0.000000460700017920,0.000000000000000000,0.000000460700017920,0.000000000005907300%,
0xf9f80288a631370c4360877d20334e9cfdfb0c5c,0.000000504999999984,0.000000000000000000,0.000000504999999984,0.000000000006475300%,
0xebea86fea5c7cd35180f6f77b621a898b40bf64c,0.000000510000000000,0.000000000000000000,0.000000510000000000,0.000000000006539400%,
0xd9c2f9dc805f4bd583f6058d5c7dee0107f73f89,0.000000589166666664,0.000000000000000000,0.000000589166666664,0.000000000007554600%,
0xa00dc2ab077949aa8d32c0715a6be8f251345dc5,0.000000589166666664,0.000000000000000000,0.000000589166666664,0.000000000007554600%,
0x525c3e43f8a0f60a68ef186b51fa57fd4b31dc9c,0.000000594999999984,0.000000000000000000,0.000000594999999984,0.000000000007629400%,
0x93ebc5dc806407b2254fee8ebebd3f0920bfc097,0.000000594999999984,0.000000000000000000,0.000000594999999984,0.000000000007629400%,
0x2a50effbe38d34883629ebc08edb044255385c81,0.000000594999999984,0.000000000000000000,0.000000594999999984,0.000000000007629400%,
0x44403e109dc645b7129bb2789e86d7e5b2e1f022,0.000000600155413416,0.000000000000000000,0.000000600155413416,0.000000000007695500%,
0xe874eebacb6afb833422edf006b592e1a19efb1f,0.000000630544289496,0.000000000000000000,0.000000630544289496,0.000000000008085100%,
0x6d6cdacc2267cbcf3fd3ac5fec227cbd91a80834,0.000000630544289496,0.000000000000000000,0.000000630544289496,0.000000000008085100%,
0xa707edd55ea86aa390503bf11aa6834edc72c123,0.000000630544289496,0.000000000000000000,0.000000630544289496,0.000000000008085100%,
0xfeb39cc8a544807b6a83564c89c05580d1ca3162,0.000000630544289496,0.000000000000000000,0.000000630544289496,0.000000000008085100%,
0x87fbc145ae152e25cb7c545aa10325ced78d7889,0.000000630544289496,0.000000000000000000,0.000000630544289496,0.000000000008085100%,
0xbb208a0df590e616c734150d1edbaa07127d362e,0.000000630544289496,0.000000000000000000,0.000000630544289496,0.000000000008085100%,
0xd4a87eb645d1ddeda8127747f67aab0f4b74cb8f,0.000000637500000000,0.000000000000000000,0.000000637500000000,0.000000000008174300%,
0x8774474f308bb0bb226dfae15e79f67dc8f70298,0.000000637500000000,0.000000000000000000,0.000000637500000000,0.000000000008174300%,
0xbef0b60e2656c7123b97f76e147885e60ffd3c46,0.000000637500000000,0.000000000000000000,0.000000637500000000,0.000000000008174300%,
0xab96d2783febe0f216bd9d92cb458a7d2a092835,0.000000637500000000,0.000000000000000000,0.000000637500000000,0.000000000008174300%,
0x860a3ca106ca6d82d62165ad1884cfb7b988918b,0.000000637500000000,0.000000000000000000,0.000000637500000000,0.000000000008174300%,
0x8065f3dbb4a90997a9c2225b61289d09649b48cf,0.000000637500000000,0.000000000000000000,0.000000637500000000,0.000000000008174300%,
0xe393e884003544119e8ae6266ac695cac1d9cea1,0.000000637500000000,0.000000000000000000,0.000000637500000000,0.000000000008174300%,
0xcd20b8c47821b77813178f26d48cf38688224600,0.000000637500000000,0.000000000000000000,0.000000637500000000,0.000000000008174300%,
0xa35d03f0ccb386ed058cf826d16fe02d5a74a5d0,0.000000637500000000,0.000000000000000000,0.000000637500000000,0.000000000008174300%,
0xeba460154efbfa599695576b9cbdf1671a132383,0.000000637500000000,0.000000000000000000,0.000000637500000000,0.000000000008174300%,
0x61e402253d6d503facecd9a9d71f8fa7c3a1e137,0.000000637500000000,0.000000000000000000,0.000000637500000000,0.000000000008174300%,
