address,pointsEarn,pointsRef,pointsTotal,percent,inviter
0x2fd76965ca174bf89f0e95285f25752763375566,0.000758777777777760,0.000000000000000000,0.000758777777777760,0.000000001358947500%,
0x81a2f419c400329bfcab2aadbcd60600c42d8019,0.000000000000000000,0.000911455767606516,0.000911455767606516,0.000000001632389100%,
0xb93e4b12dd91b1b4a2b8e277ae65d3783ba30a48,0.001007793711271632,0.000000000000000000,0.001007793711271632,0.000000001804927400%,
0x363fa1a6a063701baba5ba34689973c23fe52915,0.000000000000000000,0.001435943384692890,0.001435943384692890,0.000000002571730300%,
0x22146a562150778032e982f1fcba901f480dee0d,0.001500000000000000,0.000000000000000000,0.001500000000000000,0.000000002686453700%,
0xeef398163172a9a81ac0d59d0043832c228dc4ef,0.000000000000000000,0.001541760172807458,0.001541760172807458,0.000000002761244900%,
0xebe0da4b190032a8578c1cdea19e94acd0eab0f9,0.001654265769196752,0.000000000000000000,0.001654265769196752,0.000000002962738900%,
0x47f840d8151d7edd8b8ec8a1d6c9d79fab7c2e4c,0.001687499999999976,0.000000000000000000,0.001687499999999976,0.000000003022260400%,
0x5e53da7d19c87cccc208202692a7f0f3ffaa8e00,0.001706197576756800,0.000000000000000000,0.001706197576756800,0.000000003055747200%,
0xc70e4f58e799bcae988da4ca7ea347ebf43a728c,0.001861380603385440,0.000000000000000000,0.001861380603385440,0.000000003333675200%,
0x90f01b8c08b627398769f58770dc9de2d2ecf6de,0.001974874291263216,0.000000000000000000,0.001974874291263216,0.000000003536938900%,
0x052dab278d10e39586305eeb8394ac5fde868285,0.002052787524694560,0.000000000000000000,0.002052787524694560,0.000000003676479100%,
0x8bd1cb86028d30fea6781b0aa57d66b73897b40c,0.002251438705833816,0.000000000000000000,0.002251438705833816,0.000000004032257200%,
0x610947c46170183f64db62d99e4ab88d022246ae,0.002403307394294280,0.000000000000000000,0.002403307394294280,0.000000004304249300%,
0xf3829bfdb6ed4f87942dfb3e4af291252a0f36c9,0.002543515086914280,0.000000000000000000,0.002543515086914280,0.000000004555357000%,
0x62fefaeaed2aac5208173a1a257e7ec4c4cc709e,0.003544092334174656,0.000000000000000000,0.003544092334174656,0.000000006347360000%,
0x0c02bf4abbac35422bd14cf2dc72753a21a0878a,0.003645823070426064,0.000000000000000000,0.003645823070426064,0.000000006529556600%,
0x98b5c205c3b14b45959f347cd3d324aa9ae32d93,0.003944801490069456,0.000000000000000000,0.003944801490069456,0.000000007065017700%,
0xbe972d73f4f1461d811d0cc4bb8c8686ede3639f,0.003951170701737816,0.000000000000000000,0.003951170701737816,0.000000007076424800%,
0xdc5d4ee78bd01be5bd24de491951cd6e3407c71e,0.004937879235068112,0.000000000000000000,0.004937879235068112,0.000000008843589300%,
0x44fa0926988c0b0a7d57d80b137900d31bc3a08d,0.005743773538771560,0.000000000000000000,0.005743773538771560,0.000000010286921200%,
0xfed7a14e9cd01ac65d6c4a99f4a1890e510a54c8,0.006167040691229832,0.000000000000000000,0.006167040691229832,0.000000011044979600%,
0xb7659fb7387584a337163a515e95022c1ab40553,0.006326781168806136,0.000000000000000000,0.006326781168806136,0.000000011331069800%,
0xb7409e9b878a1c88c3f4919b4b47400d6d132aae,0.000000000000000000,0.006806780080936848,0.006806780080936848,0.000000012190733100%,
0xc131ea9e6fcf2f1dfe1b1332bc4c54342af24b42,0.006807113102249160,0.000000000000000000,0.006807113102249160,0.000000012191329500%,
0x938e08223cba5b9a0135f89004dd1d100f736203,0.007180206069482256,0.000000000000000000,0.007180206069482256,0.000000012859527500%,
0x027dd19cc82363b20afee86b23d418e8c70fc893,0.007408801693991688,0.000000000000000000,0.007408801693991688,0.000000013268935200%,
0xdf80745a246dbf6b928e3a3c442e37b773a70145,0.014651014489937448,0.000000000000000000,0.014651014489937448,0.000000026239514900%,
0x59807b6a40b04ccc31e17e9c38283ef9baa847b4,0.000000000000000000,0.014765624999999994,0.014765624999999994,0.000000026444778800%,
0x62ac1ff6f3282de72209b3610503ac26779a03b0,0.015823980886903704,0.000000000000000000,0.015823980886903704,0.000000028340261500%,
0x43791b25eeca0b1f8c8adee77246704efb40e978,0.017470885190624112,0.000000000000000000,0.017470885190624112,0.000000031289816300%,
0x0fc27c32398a7d09367dc6cb56cf41aa46605f34,0.027227120323747392,0.000000000000000000,0.027227120323747392,0.000000048762932500%,
0x5e97034b9ed6ecfc200120a7c425c95ac5000e8d,0.045818945534550408,0.000000000000000000,0.045818945534550408,0.000000082060317800%,
0xc734fb6b9e60cef00bb15c31175d0048e982cd37,0.059062499999999976,0.000000000000000000,0.059062499999999976,0.000000105779115300%,
0xf0ea9ce6d0464592a938835bc53b6d4e54a4b59d,0.062025790892975016,0.000000000000000000,0.062025790892975016,0.000000111086277900%,
0xb8fc9dd2576bbde9e2fd1f84b62023ce31529d26,0.110258333333333328,0.000000000000000000,0.110258333333333328,0.000000197469273300%,
0x7e59c2e03a87cf422b862bce00cc76ab2c4e8a2c,0.128038559661329976,0.000000000000000000,0.128038559661329976,0.000000229313110100%,
0xd3d82074f8b9558787fbfe3545118353dde44a14,0.130974420124542072,0.000000000000000000,0.130974420124542072,0.000000234571145600%,
0xe3d28cf7850e297c235de9ff3163befcfe05aa2f,0.134237561351898960,0.000000000000000000,0.134237561351898960,0.000000240415330900%,
0xc57ea958e33dc87c7c7951774bab9221346ba26f,0.176536252235188512,0.000000000000000000,0.176536252235188512,0.000000316170981300%,
0x6d510496208a286d73fe8a93b4ee4cd23c40f555,0.189456047249999928,0.000000000000000000,0.189456047249999928,0.000000339309935600%,
