user,stakestone-stone-w1
0x0000000AfEAF433D80183Ee49b65F38114397462,2.061959999999999
0x0000001089167600c25258Da29d2e2c857ec1689,0.0008600000000001274
0x0000005D3584925BFE774d112B623469533d1655,19.37382
0x000000dDe6831e26eDAA3E8B991C2869c2d5AEfb,690.73408
0x000000e748df69161604b7ed23C9D96D7CB22d48,587.0296400000001
0x00000205C94e673A290eF7036e51FD5cA98381B0,486.3434600000001
0x0000022b34B7981427BbD34E9716C543eaB7EB18,52.74938
0x0000024BC043e565527f26318f7bb5DBae457a36,54.06963999999999
0x000003f20ab17DD2C6a2cAD84e0b40b13585B65C,879.5344799999999
0x0000040f1111c5C3d2037940658Ee770BB37e0a2,56.54044
0x000005806fCA6470574998714f5b7cCB8fE439e4,708.33946
0x0000059Bb4F8e3Fb106b46984607c0058379528b,835.4390400000001
0x000008d9646E42085683D5D8a5C4Dac4528bA569,862.44376
0x000008FA0c87940AaE0C42f362DbacfbE050C1d1,634.78506
0x00000985B62F4B690169Fb8038A7621395678716,731.9829000000001
0x000009fD633d4b4b2D6804d689046E2a8AdfFEe3,871.7524400000001
0x00000b5e3FB491943824Bd2ccb042115525a304F,693.5860400000001
0x00000D71068de8B236b57C01C128DfEb9F6b2a54,875.6805199999999
0x00000f46244895B75773C6A961aB230909a79d28,777.7517600000001
0x000013421148ed3b353E8D3533001DdDabdbd7f3,1799.3637000000003
0x00002A3DB5833e3f5d92B0d56e511383819EaBFC,522.1223600000001
0x00002f7A01BBFEC11c72FBeeFbd69B25527561b6,1196.30904
0x00005dE3ace6fe33294847501220F6e3DEe4D7b5,1234.3102200000003
0x00006F13caF0ADF1451830ae4A3e9B46D8953E2f,820.9644000000001
0x0000be2e197509136cd7a0cBDC12D7569726e5bb,954.22218
0x0000c08417fE602d9C601FB1b078F577c8f5E89a,1174.81296
0x0000d62c80919FEF4E44Ed4C283A71E8EA908f68,0.0015800000000000002
0x00024eACb7936b04ba5E07eDDFd7Fe701E7c66e0,9.28000000000002
0x0003daaDba64216146f183Efe26afeaE3f31F702,0.6699000000000069
0x00085d4fee6C953D00f4456Fb407B6974435Eb07,9.27102
0x0008906cA2e1d42DFb6BbCDA7f9B709A0cFA8dfc,0.43044
0x000a59E0CF7e461a07FD068003A2B48b2F358195,0.028040000000000023
0x000dbF2733Da51135c1b21C8EF71a3d474383F0D,0.7952
0x001183159a9F983e0E3e3c32f73906E5B8ce6A55,142.88036
0x00131B63381F2510390C6ddc99B603d1EB46049c,623.1184600000001
0x001418a3db539dCF91b6b427cA5B26977ad10489,121.01028000000002
0x00146706A04E9548c77B79a15e628936DB37e22a,12.941480000000002
0x001b16EBD8Adf59a158B9C487B04155184bdCB54,0.75506
0x001c3D492B211f099522E9B84990e5Fe86D7f9dD,104.35832
0x001Dd2785256efA23AF77632249e01c131c29CF2,10.004580000000011
0x0020Fbbc255D18C1AF831964b29A34eaC4E8EF87,2.25434
0x00211A126F86c58c4cFD8309B43387e8F533D75D,46.20088000000001
0x002153708F11f2651215059eEa30820Ee4d49FF3,7181.951140000001
0x0021942e6DdC7bAbd2812d528E77486D05754F95,0.0002
0x002546438E18509065a981da6ca7c29E772ea091,0.15176
0x002748dB885D4CCfe3C7C92143f0805F4eBEEC01,76.29246
0x00276BB7a274BB272816C15d31ee9c66bc5C615A,14.88008
0x0028112A819a2FEA8802B27c8AbD755152F548bA,0.3962200000000003
0x002841301d1AB971D8acB3509Aa2891e3ef9D7E1,111.70539999999995
0x00299eEb14462605Ace6b9bd0642E788B1ea8864,141.57440000000005
0x002A9a4A1c2a5bfB889833a1Af14eEC452bE86Da,0.11258
0x002d8A12DE6185dc69aBa0F5dc07e3f1F63f5b0F,28.94272000000001
0x003980B19696718b2E8eD54beF8Bd9869Fa45187,0.03486
0x003BbcBc37Cd2792A483CAC045600369c337d69f,0.00030000000000000003
0x00409fC839a2Ec2e6d12305423d37Cd011279C09,586.7693200000001
0x0040fb88DC50e754567a60c447117cF0Ee1EEa4d,7.357560000000001
0x00446F19566fD3B1291ce83e43Fef3Be8AE6753b,39.597100000000005
0x004732f455f0D943914b566f2a15A10410492189,0.00014
0x00486fcef4A3114055e48b0fcb5D6fAE5d46C68A,66.24965999999999
0x00489dDbF5aA399EE576c066a25cc908e038721f,10.73626000000004
0x00495aCCDC2650422E3eAAD6e94A2E8CcA7e37ce,1.8317400000000008
0x004b639bbAa7ad8696e50017B6b45872c64Cf7c8,822.1408
0x0052FF8b09907fD5CBD63791A01672362A6CB075,138.9969
0x00547c124eC512638F22fD3a193B12AD80e3672D,3.7137799999999994
0x00578e0A0d2B7D7AB3B0b7B81822B3E72B470DEd,0.07936000000000001
0x0057Be07BEEF5D9B4Beb9e2d147906e83d1915C8,188.23082
0x005b0AFc5F77DD6eB4ff48713adAEa506F6CD5C2,0.00002
0x005b12F5b7c22b497528fa0A6Bc81510748fB58E,0.0015800000000126605
0x005fe151D9185a30A11B3Fc7233ca3b2cfee7EC5,2.8328999999999995
0x006116f956A8e543612299E583dAD4315aEd9D24,3.69462
0x00638f7E142c95e4DB3343799a37f9336Ee53688,0.08092000000000002
0x00674d937Bb186a734F5158B65EF80E93F2559Ce,0.02562
0x00678920b62b9B453337B5C781fe868dbb1366e5,48.032640000000015
0x00757438f320d3e53AcC25B168361a9F7e66d17D,0.002159999999997808
0x00779b79BB1Ec71CE36340c1128687C61cFb0feb,161.42556000000002
0x007bbEc99CD6239923F4667998b8A47204EB0cD2,207.04570000000004
0x007f77B222086052e8aeBCA83F969B012884E49d,37.64976000000001
0x00808a9250F145e5fD8FEBD1ba804aAA8cAE649b,4.7327400000000015
0x0085Cc4D9ce979174819da928d0B07979C9a9846,28.03846
0x008636cd4675ff12a2f18aC8898B85314d8ca968,1.06448
0x008699285e47A476B102Cb4106837C7308eB73F3,0.16128
0x0087B8616714e74d681430bf4F9A1189965bB16F,3.64776
0x0087d1c6c0534cb90315113F3c52120e7319583E,0.15570000000000006
0x009268406b52502bF89024C992ab192D9CD81e1C,8.65466
0x009281F1fe1906a98E9ffE44a4E4B8724ce39756,0.05210000000000008
0x0094977Cd8FcfFAC576b5F02414833cd5F7ebE52,48.56602000000001
0x0096B1625BC30C3aFd97023586c27E29C78b6231,130.41724
0x009787006bc217B7e37A1F28D65e6227a494213D,333.31831999999997
0x009FdFaac58C56EE156206847E9C6be466b3a55a,261.8368
