idx,holder
104,0x0f37f7685c5e32463f9d96eb28117ca34bf1005f
105,0x8666cbdaf67dc0d67a5140d5fada018960299480
106,0x309ff607070f4bd31e8ce9d2a17d8a3e1f0b198b
107,0x1457ed1a0e6be4b856674f57cc2e4af0ececb2f5
108,0xe3f190f5896e33b11e1c407248d96fe59b888dcd
109,0xf2566e30f83d5cb6334e406819a560582ceaaef3
110,0x97b4fe90ad41a90c74c1822fe929c25c57d6ef12
111,0xbd17643f082f81a02f0cc13c3590f33cb763c13c
112,0x2aa5653f57515e0b3ae98c4bc24906645b8c6d26
113,0x86f91a742ccc20040cb8442602ffe86c90705e96
114,0xd80561be48d38d0224c2f48951fb387e451c250f
115,0x5c842885caeb74b9ea10183b244f7bff67a8d497
116,0xe88657a2d92af2c093d1685f3a4b2fe120832d86
117,0xb0da87830e20ede921ee1fd88a1c2dc05c9e2842
118,0xf72e9be433fc28120a36b67a5200e673fc418925
119,0xd38538eda4e0b3fc9de2568d543ae21d4f73b251
120,0x9c473282e2b98de9f6a9569b0f4789a94e0d5d9e
121,0x7568b92770ba4719f858f47d99c507657787207c
122,0x53c6ae00ee40242ac894133fd9f8714f0f324c3c
123,0x815e1daca0fb0fe68ee969a1a93f61d8eee967c6
124,0x896d16b3ea56876bb4a7a310c2348234626401d1
125,0xd2e90da1fabd2f13c95db088cde4b67d64f151cb
126,0x8115a503b84e501dacbab0508bc5e278f16f2a47
127,0x66829cc57540959a3a698c0694cde4b96c19e99e
128,0xb14130755bdc32f3540b8ff1ab417304c80d0eef
129,0xa276cdc7c4b7236f07cfa174eddbc42e521a40f6
130,0x4f9bd42f4079fed952c4d0d1372abbca95d38b6a
131,0xeb48909ded1aa164b5725b7543fc17bade3cb907
132,0xb70872fd56de1985038c402989f47af43eafd133
133,0x5447b0de4baee5fb526e0077e1e116e7e7a0dfd8
134,0x632c920f86bc67b47c9d013a8bc8d171fea04307
135,0xc3f02b5d31ad411de3e7c9649ea110cb6cd58fda
136,0xcaf8a18736516cf02f546810d8cce21d16f8ba39
137,0x3ba66883a698b3106b7a9480e97c857b19bfc3f9
138,0xedf14327197f4fa1602cab385147a83cda6e89e0
139,0xc8b1a2780a0f83003cdce787b053033a4e25490b
140,0x195b8bf31d6bd1308cc555f41f7d00e1f041d05c
141,0x19b2c186ed175b26a038fa98a7e97190b434f6d2
142,0x7482e5b6f727f2d75a7d1172ce56fdefcec8a722
143,0xf9107317b0ff77ed5b7adea15e50514a3564002b
144,0xeee4c53d23f9327cd1986ab74ee6e6d434882a4b
145,0x09ced826828700dbd1243da63032fad8de876d6b
146,0x044f2a1e76b853687dc2fc6cc76412c2012f041b
147,0x13d3500ca5b4d1a2eeab5ae11fab29d776dea802
148,0xcea1352d95fde8c7d0f0d8a3b6279e7de926b0d8
149,0x64bc4ab80dc60d1256a8d74bc02f0504961d5201
150,0xee949e75d822761d31abaf6c9391f5de637d98ea
151,0xf7242a0c35e0e8cb73d7f1fed4917a736ee345c5
152,0x102dc079bf74188a3f807d08660113e8a8d4bb01
153,0x03ac9504586df2e3eff2b870e15e7871549864b7
154,0xee0613dd17f6fd8a3f87f92b30097c74eea5cc4b
155,0x380886e656ce40bd145a9fb85ac7e3dc51d5ee8b
156,0x4706cf76b3860c706ec00db15b076e4d213669e7
157,0x28acde450499e23abfbbc7a713d332d5ba48d9dd
158,0xaedf90b1c727bea2f7567364cae60c907ac3699c
159,0xfd8bf1e6246c28c1f383ffe55e473d14a6724332
160,0x28675681aaf7e31bc7fb74e923faf540ed6ba445
161,0x1fce885c5fc5779f550066da6d77b4a9dd3bdacc
162,0x2189735145ab166a5be6a15db568d40327fd425f
163,0xd1e1d5c9ef5556c2ac23c61232348cf8d7d759b8
164,0xd3356e3602078df89941db45ca5f2b1e51aad02a
165,0x19dc71726391a3c3d5e176428530e60c6d7fcb08
166,0x8e944f7eba816a50bd7873944fabb72ba233e216
167,0x7d0daf6c64a2327abae20ece5e35d599c8cbe68b
168,0xfa11c05906e5f224041181953799c65ce5fc671e
169,0xadc1d13acf57ea12cdf14679177fd669221adf2c
170,0xaaecae66786df03f5a438bd5cbbbb34dd74e21bd
171,0x230a414d10441b9d9ef74e9fd537b27e2501d5e5
172,0x15cf183f4448c0d3aae810a25070711079cd06a2
173,0x5c48cc342430bf70bfc7cfcc4783af84a67bcdb2
174,0xb8762f92cd4f08bbc5d75486eea89ea419b32c86
175,0xaf5db8ddf38169931b35f733233f6d78e986d92f
176,0x119eac4025d2b79ee3fd167d74c48f91a53fe8f9
177,0x4415da04d8729ac1d4760021cfa13aab448ceb19
178,0xf1284adfe43aef3902091dac77eb4f190a4270c4
179,0x0ec1f47a4874a717d12d02b4966e6a4b2d94683c
180,0x39dccab714fba3a27d8003727ae9c7ca85ecb397
181,0x8d455684150f5bd4b03ed8b19105dcb08955c9e2
182,0x93505d5eaac1b51d20dd96cbd3d6ceb6ff5720d5
183,0x0a62195ccedc0f29b1055b2e1be1310294abc7b8
184,0xbfc2749366f5c75fa59c135f2a5a926054aaa606
185,0x7cb552152e2b28f9f6911c51b69b0d8d1fadafe1
186,0x59270ea5684c11c71255019ae4bd099ed58c2e93
187,0xbe6b789745d7d08d6766c97fbaafb6e77a90bd3d
188,0x675e703b6c114402cdfb532858106b2d0574bca3
189,0x4009e24cf5fd6cb6279d4483fb7b61406309b1aa
190,0xc307e2b78fc014534fc9ab5cf027f2c05ce671df
191,0xc926859e4460891379fd1391404f6b0d374dd5bb
192,0x2c25f99b9317722bba431ec3694cc751166a33eb
193,0xe9aa9da1d70196bcb20df971e413a2d6e226917f
194,0x14cd8b035dab40c309a7f8b63be5cc20461aefb8
195,0x72ef3f9ee8d604f08008a0e99ebfe3c1078cec71
196,0xb802ae9ba9974d2b7fcbb5641952466a068b7d87
197,0x199919ed3157ed218505664406512a3a65ffd57c
198,0xca1a68958a32d49dda05d621cb2d7998dda82221
199,0x741b5647d826d65759c7dde40ef0c7371041e807
200,0x178a2718884fd5d219f9bcbee77a9a20bb626a97
201,0xac0caa9e234219d65f48690d3d7095decca14f50
202,0x9ceb5dcd1c2afe013aa17f3fa086955890c867a2
203,0x5905b3bb039bca9edfb48d486174838504cfbd77
204,0xfd60f42af0afac0beedff4da364554ac24263cea
205,0x15b456b6b440f6ad7bed57d3dee84c2250d81a9b
206,0x353237f3921dd98bbd9ed4ba85c86592ee957b9e
207,0x8c7511f4de4e75abaf0066e72ac26c38fcc329f6
208,0x3cecb0fb054739d42652f6390595e430fa41d68b
209,0x92f092d7c8540f97b61c28aa9b8c14c3e42922ce
210,0x0a9d5316372c2c6b185bf2fc13498f07be890529
211,0x2b1eb498674b22e3fb841d854cad43949633516e
212,0x5258c93fbf34600a89bb1b7a57fe9b981a693fc7
213,0x7db3e3f10fad9db3a2da202ddfe62e6a05b86087
214,0xfa9673a719cc400fb3ca7cd04b543ec2afe538fa
215,0x7c9ed6aee0069c43d3fd37a7c81283e030fa638c
216,0x9080235cea4b91c154ff69b964b6be2eea3ddfb3
217,0xebe364bcbbf67cb9cdb004ec2340f9141644fda7
218,0x6140b013fd4acfe15c302b605b5de388cd8897bd
219,0x2358bffc90dc942f3404e5a8ab9e04f4bc0d85a7
220,0x1819e881f64dbb423efd92184d9e3348f2a509d3
221,0x50f460caecb8558734ec3750da7bf34b864efb3f
222,0x7e477f659dc5a127f07507e642c3ec24c6a0ec07
223,0x3dc0d81e835837f56d81a7ddf2a78690b5a1ddb2
224,0x7982458e9d3895b839e84a3adc91246f58de5d5e
225,0x7416b86e8039e826de0470385388c6d8b2e96710
226,0x7f32cbc2483a40992cf98b4dd310a6f3b67e1bde
227,0x1ff4327aff5afa1cc0b14724d8180efefd14f71e
228,0xe7d4d40bf81d854405b6391071c94a8e131e5c30
229,0x5d9e2ab10768ccab87f2908b106b52a0bdcb27de
230,0x81e14e07493bd2a3ad29bb7dab1f26de9c98151b
231,0xb71d05cf5cdf7a9b15b20b9aab5e91332c271c96
232,0x7a13734b1ae5e15fb09995e0d2c4adb798b7ff37
233,0x05ab944bca8b1486ca2eeaf7818bc63e1ff9478e
234,0x98e3b3141dd10bebfb8ca938518769f8bc8c3274
235,0x91bfef81dd0e37e879aeb4d0358c7ada6ee9106c
236,0x026a99b2db3edc8c14705390d231e12b793bb20d
237,0x6f17763368d26041db7aa1232b5069990e846b0f
238,0xe063a2bc277d856c5882d98be4eabbe691957d33
239,0xce5abfa37e36e93de24a20864ce4a3ce470e1804
240,0x556fce501af7e8134a58842f8aad5373a5fa2c08
241,0x0db92bb0390696075dc05f0a3674b9ff946486ec
242,0xfae7b13b8d653e2d603bf63950f37e1b23ecf148
243,0x98ead1ff705ecc4e9027d6bb020c1c365778c662
244,0x6b2b94b69f03f3b3a917778e610f41f1318a5bf0
245,0x691743ddfe003f6a0c131f3dcd165d53e7122be6
246,0x076775d9d67f39190a6c5655f23c6537f5ff1b00
247,0xe2c1594fdad08aaf1fc3b322ae4b7e066dbd11ff
248,0xeb1fe71ba82e5a124cc0b8d848504412d0b6038f
249,0xf36bb95548ae036b8add44f94cd0d01316825a20
250,0x9d32ccb03147e88f0d84dcd846e5bceadfa9bdd0
251,0x21bf63c0418d4f1d13f884c50498b2259b321b43
252,0x4529f8938a0833adf0f11719efec681cf6360742
253,0xdd6e97a2f8c67764ade4b91608a0b17d0056631d
254,0x2a39243bce247ea02aefd3b16cc6c033ff742d65
255,0x79a5dc457021389692bb92bf5d15e2d6d46d8aeb
256,0x345fb54660fe7624931bd2f33c709d259a560534
257,0xd923de646d3f0bb9eb7f9169f259c79c3ede2188
258,0x64436861f8aa5fd6d1064c3670a7a139bbcdae77
259,0x6f608b11e7b30f06163467502802d00e95340e0a
260,0xd116ba6bc6e46b06f0e66095e66b173050524dad
261,0xee90ac98130dca85de0b3b6b2b0354c95a9cba65
262,0xc5115d9d85256cc93836189d21d23729014b9afe
263,0x843090d3d566331373ba2ab3c0d346596ce5d933
264,0x47400da4c778655e7e8b4c72557289321dff098d
265,0xf82d9994544e5a4c74b1e4510b507a163af42176
266,0x705abd1d237ac8c5c1ca0e96ca9cfb422f099614
267,0x6a3f6d4de1f891e776ac0a1e57d46bbba3b0cada
268,0x91174337f6009c031a51b7ac0cf1db8c76a59eec
269,0xbffeaeebd4735939e0d13373e980795d44de2ebf
270,0x241202a851dbb3cbe68a42ac2c7f11ab2628a5da
271,0x22eb3d6bdfff9a0b1ca3f631477337c69da0e364
272,0x2315bf06e7334dedfeaa899240b64678dc4b92d1
273,0x3367a005c2bef54f2836a616ce3e4fa2d35910da
274,0x61ffe2c80183977bef16fcc4ab1afccca14ef5fe
275,0xe99c714d1d649f3dada0202d4728e1c424730b74
276,0x25cde502eb0c78409b456d1aedaa34a5ff007765
277,0xbaa10806148a1b30e7b0745d7e4318a98145ec47
278,0x1ba34b9c2b97592fcb04eb51d901247e62103d2c
279,0x2401e0d4f75e341d25880edc6ee7e9bc33d386e8
280,0x1ce7b926340ec2a894d92d86a72447da4e37758b
281,0xadc73eb8e4673e5fd5a9c709c4379c074991f2d3
282,0xb170a41f2523220a12f84f17a54bd31953d98027
283,0xf3930cbb9e0391306e7441565167ac00285a3dfe
284,0x4e2b74fd72d57bf10b6f7cdbee2876f59595cd90
285,0xa485f864de8acff91e48805e2500e2ae8b9af185
286,0x31b3505945e5e4386c7cf955c552fdb2048a5563
287,0x34868ed83815aaa53cd1f85032beaee678a9e8de
288,0x13ac233d01893924915824e1992e3da47406b2f4
289,0xe167792774202aa62eece5e445327f35cec45722
290,0xb73357cf8454f6d726e6ecece8b1e0e26c2319b7
291,0xb05cf01231cf2ff99499682e64d3780d57c80fdd
292,0x157ea7465237654286ba3fdfaefd145cafc8859e
293,0x5959174fcf6a5ea62455864db3d118132f2bad36
294,0xf1efb5235308b6736c31532002fd36ff4ea91782
295,0x845a0a9d436fff40e6bda3bfbc06dea616cb20fb
296,0xc02ea34406fcb0585fb205abf17c7c2187fadf36
297,0xca6ff42933c0c76e9ae059b495476fad3e366494
298,0xa2917120c698fb5f2a03e3fd3524bda85a3eaef6
299,0x2bcdefe963bf2556b157c6a6eeaaed7d22feaed6
300,0x3fb219b628402288a3108e23050d6a50fadd1ac6
301,0xc0986544922b4b585da4c077f6488e2fbaf043ba
302,0xa3004c36f399a121f8c42cde43ed36721ebf8e03
303,0xb95fa4aa7bb60e8774aa7737949bce1cc4eee3b2
304,0x6b17481a163df8b44bb6b89d9219c8d052b676b8
305,0xfd308dfdb978b8ed3675a90394040c5b44989e8c
